iso3,pais,esperanza_vida,pib_per_capita,gasto_salud_per_capita,poblacion_urbana_pct,matricula_secundaria_pct,usuarios_internet_pct
JAM,Jamaica,71.532,6030.68896415921,390.79431152,56.6957957395074,85.7618499653089,70.8410169743356
KGZ,Kyrgyz Republic,71.6,1421.99927504102,61.39657974,34.8805205758044,91.6686153595535,64.1
SLE,Sierra Leone,59.593,843.71251730417,48.13619995,42.7018444914441,61.1980781555176,15.71370029
ECU,Ecuador,77.286,6205.05765246766,484.54037476,63.0627139714638,93.8371637137576,59.2
CRI,Costa Rica,80.296,12951.8588421841,930.43511963,77.0435864735963,132.849334716797,81.2025964435269
SEN,Senegal,67.668,1431.18128932159,64.33670807,49.9443321273477,44.4624552560012,43.37969971
SYC,Seychelles,74.0463414634146,19141.5118743615,675.47839355,44.0049304031754,100.825877494838,76.63420105
AND,Andorra,84.098,41257.8045861543,3021.078125,88.5391793666245,96.2081298828125,90.71869659
HUN,Hungary,76.3195121951219,17012.8598553199,1062.15869141,70.4565277099609,102.438682556152,80.3716936050482
BRN,Brunei Darussalam,75.049,30426.5730656528,678.81982422,74.7923311783673,88.2910308837891,95.0
ARE,United Arab Emirates,82.596,45938.6084572227,1962.46728516,85.0298263388195,101.747344264722,99.1499979561243
CAN,Canada,82.1585365853659,46352.9695208927,5098.88720703,81.7363672047941,110.980072021484,91.91290283
ROU,Romania,75.6073170731707,12909.6104013244,738.5581665,52.8931835224862,86.4074096679688,73.6574757545465
POL,Poland,77.9048780487805,15874.5220531254,1014.03820801,59.9626184068963,109.753303527832,80.4359068768673
SWE,Sweden,83.109756097561,51648.9892820514,5688.04492188,87.7088420242759,136.641006469727,94.4934434072202
MYS,Malaysia,75.9,10920.191763972,419.32568359,74.8377707734042,75.3229827880859,84.1871450078281
THA,Thailand,77.197,7605.69657797759,288.31097412,55.9266166687012,81.7206425877734,66.6524194587528
MAR,Morocco,74.245,3508.09765625,178.73939514,61.8430450233765,79.3440512967066,84.1203630467602
MWI,Malawi,64.995,580.889139762475,36.91519165,16.1383746619001,35.5212672502146,11.05860043
MNE,Montenegro,76.6829268292683,8749.25629734676,754.77441406,65.1686759904159,91.84033203125,73.4766657478691
TON,Tonga,72.292,4788.83350468584,266.68792725,22.3288155626206,96.0933090863485,51.56299973
ZAF,South Africa,66.071,6533.71121032856,538.80438232,63.4127255007908,103.78912033531,69.69689941
BRB,Barbados,76.495,21929.435611489,1168.11938477,59.2841140645486,106.086326599121,70.30709839
JOR,Jordan,76.865,4557.79334729121,294.92785645,91.515966492507,89.5104774843719,70.08470154
LTU,Lithuania,76.2829268292683,19608.7943945553,1361.20288086,67.245735168457,106.835861206055,81.5818683764046
SAU,Saudi Arabia,78.313,29566.7933827436,1504.55249023,83.6394643268678,104.048257824894,95.7247355953812
BHS,"Bahamas, The",71.408,33640.3369861278,1881.40393066,81.8257463283204,78.566734376867,90.69329834
NRU,Naoero,61.393,10801.7705659635,1213.86804199,100.0,86.1130981445312,74.73789978
QAT,Qatar,82.945,66841.3013484919,2007.51525879,99.1191696672067,105.162567508393,99.6528042086389
